Search_Ref,Authors,Title,Journal,Abstract,Year,Volume,Page_Start,Page_End,Article_Number,DOI,DOI_Link,Screen,Downloaded,Included,Why_Not,Extracted
2022-73,"Rogalla, S; Nicolai, MPJ; Vandomme, V; Teifel, R; Clusella-Trullas, S; D'Alba, L; Shawkey, MD",First observation of a brood patch on a male sunbird (Chalcomitra amethystina),JOURNAL OF ORNITHOLOGY,"Nest care and brooding in sunbirds (Nectariniidae) is thought to be performed exclusively by females. Here, we provide the first evidence that male sunbirds might help with brooding. During a ringing session in Hoekwil, South Africa, we observed one male Amethyst Sunbird (Chalcomitra amethystina) with a brood patch. Its sex was confirmed using molecular methods, and our observation suggests that nest care in sunbirds may at least in some cases be biparental.",2022,163,611,614,,10.1007/s10336-022-01964-7,http://dx.doi.org/10.1007/s10336-022-01964-7,0,,,,
2022-74,"Soler, M; Ruiz-Raya, F; Sanchez-Perez, L; Ibanez-Alamo, JD; Soler, JJ",Functional explanation of extreme hatching asynchrony: Male Manipulation Hypothesis,ZOOLOGICAL RESEARCH,"Hatching asynchrony in birds is considered an adaptation to facilitate brood reduction because under conditions of food scarcity, the smallest nestling usually dies soon after hatching, thereby minimizing parental effort. However, in species with extreme hatching asynchrony, the last hatchlings paradoxically experience a very low probability of survival and death can take so long that it can hardly be considered an adaptation. Here, we propose and experimentally tested a new adaptive hypothesis explaining the brood reduction paradox, namely the Male Manipulation Hypothesis. Our hypothesis suggests that by inducing asynchronous hatching, females increase the feeding requirements of the brood, which will induce males to increase provisioning effort. In addition, females may extend the period of male manipulation by feeding the smallest nestling just enough to sustain life. Our study showed that male common blackbirds (Turdus merula) increased their effort (i.e., number of food items per hour) in experimental asynchronous broods compared to synchronous broods, while females reduced their contribution, as predicted by the hypothesis.",2022,43,843,850,,10.24272/j.issn.2095-8137.2021.455,http://dx.doi.org/10.24272/j.issn.2095-8137.2021.455,1,1,1,,1
2022-75,"Kloskowski, J",High pair fidelity despite sex differences in the duration of parental care in a long-lived migratory bird,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"In monogamous birds, pair bond maintenance is often dependent on previous breeding success and each parent's effort, because partners gain information about one another's quality and contribution to brood rearing. The asymmetries between mates in parental investment have been theoretically linked to a sexual conflict of interests. Year-to-year pair fidelity decisions in relation to birds' previous-year information about their mates, including territory quality and relative length of brood care, were explored in red-necked grebes (Podiceps grisegena), a long-lived species with parent-fed young. Overall, mate retention was a major strategy (81.5% of pair-years). The probability of breakage/maintenance of a pair bond was not affected by previous-year hatching success, fledgling production, or territory quality in terms of food abundance for chicks. Reunited pairs bred earlier in the season than new pairs. In pairs that maintained bonds into the subsequent season, females typically terminated care 1-4 weeks before males. The male fidelity indicates that earlier brood abandonment by females may confer some fitness benefits to males and reflect coordination of reproductive effort at the behavioural level rather than exploitation of one partner by another. Significance statement Pair-living animals deciding whether to keep their old mate for future breeding usually consider their previous reproductive success and the partner's effort. In some monogamous birds, often one of the parents leaves the brood before its mate, which is usually explained in terms of conflict between the sexes over parental care costs. I studied links between previous year's parental effort and mate retention in red-necked grebes, a long-lived waterbird. Grebes showed high pair fidelity irrespective of recent breeding success. In pairs that stayed together, females typically terminated brood care earlier than their mates. The male fidelity indicates that the unequal duration of brood attendance can be interpreted as cooperation and not conflict, especially as departing females did not attempt a second brood, while male-only care after female departure was sufficient to raise the young.",2022,76,,,45,10.1007/s00265-022-03156-y,http://dx.doi.org/10.1007/s00265-022-03156-y,0,,,,
2022-76,"Fortuna, R; D'Amelio, PB; Doutrelant, C; Ferreira, C; Lecq, C; Silva, LR; Covas, R; Rybak, F; Paquet, M",Begging and feeding responses vary with relatedness and sex of provisioners in a cooperative breeder,ANIMAL BEHAVIOUR,"Begging behaviour can provide information on offspring hunger levels and be used by parents to adjust food provisioning efforts. In cooperative breeders, helpers also provide care by feeding the young. However, how helpers of different sex and relatedness to the offspring respond to begging behaviour has rarely been studied in cooperatively breeding species, which limits our understanding of the indirect and/or direct benefits that helpers may obtain by responding to offspring demand. Here, we used a cooperatively breeding bird, the sociable weaver, Philetairus socius, to investigate how nest intervisit intervals of breeders and different types of helpers, distinguished by sex and relatedness, varied with acoustic begging. Moreover, we tested whether these different classes of provisioners experienced distinct levels of begging. Our results show that only breeding males, but not breeding females or helpers of any sex and relatedness to the nestlings, returned faster to the nest to feed after experiencing more begging calls. When contrasted directly, we confirmed a statistically supported difference in responses to begging between male and female breeders. Surprisingly, second-order relatives experienced more begging calls than the other classes of more related helpers and breeders. These results show that we might find differences in how provisioners respond to begging levels when classifying group members according to their potential fitness gains. In sociable weavers, the benefits and costs of adjusting feeding efforts to begging seem to differ with sex and life history stage. Experimental and more detailed investigations on begging-feeding interactions are necessary to understand the origin and prevalence of these differences across cooperatively breeding systems. (c) 2021 The Author(s). Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour. This is an open access article under the CC BY license (http://creativecommons.org/licenses/ by/4.0/).",2022,185,49,71,,10.1016/j.anbehav.2021.12.015,http://dx.doi.org/10.1016/j.anbehav.2021.12.015,0,,,,
2022-77,"Bessa, E; Brandao, ML; Goncalves-de-Freitas, E",Integrative approach on the diversity of nesting behaviour in fishes,FISH AND FISHERIES,"Nests are the key elements of the reproductive repertoire of several fish species. Understanding the physiological aspects behind their nesting behaviour is imperative to improve our knowledge about behavioural mechanisms focusing on species conservation. Nevertheless, current knowledge on fish nesting is still underexplored. Here, we show a synthesis based on an integrative approach for understanding the diversity of nesting behaviour in fish. Because a nest sometimes does not involve new buildings (as in birds), we suggest a more comprehensive definition based on the behaviour instead of the structure per se. Forty fish families were recorded as they made nests, which were sorted into six main types: bowls, burrows, foam nests, nests made of plant matter and animal parts, besides nests made on clean rock surfaces. Besides spawning and parental care, these nests also serve as a refuge against predators and male competitors, as targets for sexual selection, including bowers with no parental care function, and badges of social status. We showed that, although it is advantageous to what the Darwinian fitness of the species is concerned, nesting also requires time and energy. We propose an evolution of nest types and functions, from the ancestral bowl used as refuge to derived foam nests with sexual selection functions. Physiologically, nesting is controlled by the HPG axis and particular brain circuits, this probably being the less explored subject. Finally, we highlighted that, in the changing world of the Anthropocene, nesting behaviour emerges as a framework to indicate the quality of the aquatic environments.",2022,23,564,583,,10.1111/faf.12632,http://dx.doi.org/10.1111/faf.12632,0,,,,
2022-78,"Ledwon, M; Szczys, P","Extra-pair paternity in a species with frequent extra-pair courtship feedings, few extra-pair copulations, and male-biased parental care",JOURNAL OF ORNITHOLOGY,"Patterns of extra pair paternity (EPP) and intraspecific brood parasitism (IBP) were studied in a Whiskered Tern Chlidonias hybrida population characterized by female brood desertion, a high level of extra pair courtship feedings (10%) and a low level of extra pair copulation (EPC; 0.6%). In this study, we used a set of microsatellite loci to analyse parentage in 56 Whiskered Tern families from southern Poland. Depending on the method, we detected that 1.4%-3.6% of chicks were sired by an extra-pair male, and extra-pair chicks were present in 3.6%-8.9% of broods. IBP was observed in 8.9%-14.3% of broods, corresponding to 3.6%-6.4% of the chicks. The low rate of EPP is in agreement with the hypothesis that in species with high male parental investment, females should avoid EPC. The low level of IBP indicates that intraspecific egg dumping is not a common female strategy in Whiskered Tern, similar to many other colonial waterbird species.",2022,163,437,444,,10.1007/s10336-021-01954-1,http://dx.doi.org/10.1007/s10336-021-01954-1,0,,,,
2022-79,"Corregidor-Castro, A; Griggio, M; Grapputo, A; Mingozzi, T; Pilastro, A; Plaza, M; Cantarero, A","Heterozygosity, genetic similarity and extra-pair paternity variation in two populations of rock sparrow Petronia petronia: a within and between populations comparison",JOURNAL OF AVIAN BIOLOGY,"Extra-pair paternity (EPP) has been broadly reported in socially monogamous bird species and it has been hypothesized that females engage in extra-pair copulations to increase the genetic variability of the offspring and to reduce the risk of inbreeding and genetic incompatibilities. This hypothesis makes two predictions: within populations, females should engage with more dissimilar/heterozygous males and, among populations, females should pursue more frequently EPP in populations characterized by a lower genetic variability and a higher homozygosity. However, support is still unclear throughout literature, and usually involves the study of a single population. We compared a peripheral population of rock sparrow Petronia petronia living at the marginal distribution of the species and characterized by a high EPP level (> 50%) (Italian Alps) with a population located in the centre of the species' distribution (central Spain), to understand if variations in EPP could be linked to differences in mean heterozygosity and genetic similarity both between and within populations. EPP in the Spanish population was 18.1%, three times lower than that observed in the Alpine one (51.2%), and this difference remained fairly constant across different years. Supporting the between populations prediction, we found lower heterozygosity and reduced allelic richness in the Alpine population compared to the Spanish one. In contrast, social and extra-pair males, as well as within and extra-pair offspring, did not significantly differ in terms of genetic similarity and heterozygosity within brood in either population. Social and extra-pair males did not differ in tarsus size, body weight or yellow badge size, suggesting that females were not choosing extra-pair partners based on heterozygosity, genetic similarity or phenotypic quality. Although based on a limited sample in the within population analysis, our results indicate that EPP may evolve in response to a low level of genetic variability in the population.",2022,2022,,,e02941,10.1111/jav.02941,http://dx.doi.org/10.1111/jav.02941,0,,,,
2022-80,"Gan, JL; Tapang, GA; Espanola, CP",First description of the breeding biology of the North Philippine Hawk-Eagle (Nisaetus philippensis),WILSON JOURNAL OF ORNITHOLOGY,"This study presents the first description of the breeding biology of the IUCN Endangered North Philippine Hawk-Eagle (Nisaetus philippensis). We describe a single pair's breeding phenology, nest characteristics, diet, chick development, and behavior through on-the-ground and remote observations from 1 February to 14 May 2020. Due to limited mobility during the COVID-19 pandemic, we improvised a video recording setup for remote monitoring and used machine learning to extract data from images. The nest was a low cup/fork type stick nest placed on a Malabulak tree (Bombax ceiba) in a heavily disturbed secondary forest. When it was first found, the incubation stage was underway and lasted for 1 month as the nestling emerged on 1 March 2020. Both adults provided parental care throughout the breeding period, with the male primarily providing food and the female attending to the nest, egg, and chick. They preyed on a wide range of vertebrates such as lizards, ground birds, bats, rodents, and domestic animals. With a single egg per clutch and a relatively long breeding cycle, the species has a slow reproductive output that may contribute to its current threatened status.",2022,134,77,85,,10.1676/21-00018,http://dx.doi.org/10.1676/21-00018,1,1,0,no analysis,
2022-81,"Swan, GJF; Bearhop, S; Redpath, SM; Silk, MJ; Padfield, D; Goodwin, CED; McDonald, RA",Associations between abundances of free-roaming gamebirds and common buzzards Buteo buteo are not driven by consumption of gamebirds in the buzzard breeding season,ECOLOGY AND EVOLUTION,"Releasing gamebirds in large numbers for sport shooting may directly or indirectly influence the abundance, distribution and population dynamics of native wildlife. The abundances of generalist predators have been positively associated with the abundance of gamebirds. These relationships have implications for prey populations, with the potential for indirect impacts of gamebird releases on wider biodiversity. To understand the basis of these associations, we investigated variation in territory size, prey provisioning to chicks, and breeding success of common buzzards Buteo buteo, and associations with variation in the abundances of free-roaming gamebirds, primarily pheasants Phasianus colchicus, and of rabbits Oryctolagus cuniculus and field voles Microtus agrestis, as important prey for buzzards. The relative abundance of gamebirds, but not those of rabbits or voles, was weakly but positively correlated with our index of buzzard territory size. Gamebirds were rarely brought to the nest. Rabbits and voles, and not gamebirds, were provisioned to chicks in proportion to their relative abundance. The number of buzzard chicks increased with provisioning rates of rabbits, in terms of both provisioning frequency and biomass, but not with provisioning rates for gamebirds or voles. Associations between the abundances of buzzards and gamebirds may not be a consequence of the greater availability of gamebirds as prey during the buzzard breeding season. Instead, the association may arise either from habitat or predator management leading to higher densities of alternative prey (in this instance, rabbits), or from greater availability of gamebirds as prey or carrion during the autumn and winter shooting season. The interactions between gamebird releases and associated practices of predator control and shooting itself require better understanding to more effectively intervene in any one aspect of this complex social-ecological system.",2022,12,,,e8877,10.1002/ece3.8877,http://dx.doi.org/10.1002/ece3.8877,0,,,,
2022-82,"Farrar, VS; Ramirez, AV; Calisi, RM","Effects of Parental Experience and Age on Expression of Prolactin, Vasoactive Intestinal Peptide and their Receptors in a Biparental Bird (Columba livia)",INTEGRATIVE AND COMPARATIVE BIOLOGY,"As animals gain parental experience, they often show more rapid and efficient parental care responses that likely improve offspring survival and fitness. Changes in circulating hormones that underlie reproductive behaviors, including prolactin, have been found to correlate with parental experience in birds and mammals. Altered responsiveness to prolactin in key behavioral centers of the brain may also underlie the effects of experience on parental behaviors. Further, experience may also affect responsiveness to prolactin stimulatory hormones, such as hypothalamic vasoactive intestinal peptide (VIP). While experience has been shown to upregulate neural prolactin receptors and responsiveness in rodents, its effects on prolactin receptor gene expression remain unstudied in birds. To address this, we examined gene expression of pituitary prolactin, hypothalamic prolactin receptors in the preoptic area, hypothalamic VIP, and pituitary VIP receptors in both sexes of the biparental rock dove (Columba livia) when birds were not actively nesting. As age and parental experience are often confounded (i.e.,experienced parents tend to be older than their inexperienced counterparts), we measured gene expression in birds of varying combinations of age (0.6-3 years) and prior reproductive experience (0-12 chicks raised). We found that increasing experience with chicks correlated with lower PRLR expression in the preoptic area, and age correlated with lower VIP expression in birds of both sexes. Pituitary PRL and VIPR expression was not associated with parental experience or age. These results suggest there may be persistent effects of experience and age on neural responsiveness to, and regulation of, prolactin in birds.",2022,62,30,40,,10.1093/icb/icac017,http://dx.doi.org/10.1093/icb/icac017,0,,,,
2022-83,"Paitz, RT; Dugas, MB","Steroid levels in frog eggs: Manipulations, developmental changes, and implications for maternal steroid effects",JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,"Exposure to maternally derived steroids during embryonic development can elicit phenotypic effects in the resulting offspring. Studies of maternal steroid effects, especially rich in mammals and birds, have offered exciting insights into the evolution of maternal effects in vertebrates. To extend this literature, we quantified levels of steroids in the eggs of four neotropical dendrobatid frogs that lay terrestrial clutches, a reproductive strategy that has evolved multiple times in amphibians. Building on our observational results, we then manipulated levels of pregnenolone and progesterone in eggs of one species and examined how this affected steroid levels during development. Eggs of all four species had detectable steroids levels, with progestogens being more abundant than androgens and glucocorticoids. Estrogens could not be detected. Immersion of frog eggs in a solution containing pregnenolone and progesterone resulted in elevated levels of both steroids early in development, but levels declined and were similar to those in unmanipulated eggs by the end of development. Treated eggs also exhibited a transient increase in levels of steroids that can be produced from pregnenolone and progesterone. Overall, our findings demonstrate that frog eggs contain steroids similar to what has been observed in other egg-laying vertebrates. During development, steroid levels are dynamic, further suggesting developing embryos regulate exposure to maternal steroids. These results set the stage for investigating the causes and consequences of maternal steroid effects in frogs.",2022,337,293,302,,10.1002/jez.2566,http://dx.doi.org/10.1002/jez.2566,0,,,,
2022-84,"Gillies, N; Padget, O; Syposz, M; Bond, S; Guilford, T",Resource allocation underlies parental decision-making during incubation in the Manx Shearwater,ORNITHOLOGY,"Lay Summary center dot During breeding, animals must strategically determine how much to invest in the competing demands of reproduction and survival, which has important consequences for behavior. center dot When pairs expect to breed for multiple years, individuals may make decisions in cooperation with their partner to preserve energetic resources across the pair as a whole. center dot Body mass reflects an individual's energetic reserves and therefore the resources available to allocate to reproduction and survival. Measuring body mass can therefore help researchers understand how and why animals make decisions relating to their behavior. center dot We measured changes in body mass during incubation for the Manx Shearwater (Puffinus puffinus), a seabird species in which both parents care for the offspring. We were interested in how the maintenance of body mass relates to parental behavior, whether this differs between males and females, and whether parents behave cooperatively. center dot We found that shearwaters determined their foraging trip durations during incubation based on a combination of their own body mass and that of the partner, providing evidence that parents factor their partner's condition into their decisions. For many bird species, trade-offs in resource allocation become stark during incubation, when caring demands put into direct conflict their investment in reproduction versus survival. We demonstrate the critical importance of resource allocation, here measured indirectly as body mass, for incubation behavior in the Manx Shearwater (Puffinus puffinus), a biparentally-caring seabird. Using daily measurements of body mass from breeding pairs in combination with field observations and remotely collected behavioral data, we examined how changes in mass related to nest attendance and foraging behavior. We furthermore tested whether this differed between the sexes and between pairs of different breeding experience. We found that while body mass predicted the probability that incubating birds would choose to temporarily desert the nest, incubation shift duration was ultimately set by return of the foraging bird. The trip durations of foraging birds in turn were primarily dictated by their body mass reserves on departure from the nest. However, foragers appeared to account for the condition of the incubating partner by returning from sea earlier when their partner was in poor condition. This key finding suggests that decisions relating to resource allocation may be made cooperatively within the breeding pair during incubation. Our results contribute to understanding the mechanisms by which individuals regulate both their own and their partner's incubation behavior, with implications for interacting with fine-scale resource availability.",2022,139,,,,10.1093/ornithology/ukac006,http://dx.doi.org/10.1093/ornithology/ukac006,0,,,,
2022-85,"Uzcategui, YDS; dos Santos, EJM; Matos, ER; Silveira, FT; dos Santos, TV; Povoa, MM",Artificial blood-feeding of phlebotomines (Diptera: Psychodidae: Phlebotominae): is it time to repurpose biological membranes in light of ethical concerns?,PARASITES & VECTORS,"Background: The aims of the present study were to evaluate and compare the efficacy of blood-feeding in phlebotomines through industrially processed membranes from the small intestine of pigs (used for the production of commercial sausages) and the skin of euthanized chicks. Methods: Laboratory-bred Lutzomyia longipalpis and different field-caught phlebotomine species were subjected to the artificial feeding systems under similar conditions. Paired tests were performed using the control (skin from euthanized chicks) and test membranes (pig small intestine). The feeding rates were compared by paired t-test, and Pearson correlation was used to examine the relationship between the thickness of the membranes and feeding rate. Results: The feeding rate was greater with the test membrane than with the control membrane for L. longipalpis (t-test, t= - 3.3860, P= 0.0054) but not for the most frequent field-caught species, Nyssomyia antunesi (t-test, t= 0.7746, P= 0.4535).The average thicknesses of the control and test membranes were 184 +/- 83 pm and 34 +/- 12 pm, respectively (Mann-Whitney U-test, U= 0.00, Z= 2.8823, P= 0.0039); however, there was no correlation between feeding rate and membrane thickness. A moderate positive correlation was observed between the number of phlebotomines that fed and the total number of phlebotomines in the cage for each type of membrane and for each species. Conclusions: The test membrane is a viable alternative for the artificial blood-feeding of phlebotomines, and is thus a potential substitute for the skin of animals that are euthanized for this purpose. Feeding rate was independent of membrane thickness.",2022,15,,,399,10.1186/s13071-022-05511-4,http://dx.doi.org/10.1186/s13071-022-05511-4,0,,,,
2022-86,"Shiao, MT; Yao, MC; Chuang, MC",Provisioning flexibility and nestling growth of Green-backed Tit Parus monticolus in a mosaic of mixed-oak forest and cedar plantation in Taiwan,ORNITHOLOGICAL SCIENCE,"In heterogeneous landscapes, birds may mistime their breeding attempts relative to local food abundance. How birds cope with this challenge has been little studied. In this study, we compared the provisioning behavior and nestling condition of the Green-backed Tit Parus monticolus nesting in a landscape mosaic comprised of native mixed-oak forests and exotic Japanese Cedar Cryptomeria japonica plantations. Parent birds in the larvae-poor plantations time their breeding as they do in the larvae-rich forests and have clutches of similar size. We found that parent birds were flexible in adjusting their criteria for prey choice on the basis of larval abundance. In early spring, in cedar plantations where larval abundance was low, male parents maintained constant nearby feeding trips to the early broods, just as they did in the mixed-oak forests, but reduced their dietary specialization on larvae, while female birds increased their provisioning frequency. Combining both parents' efforts, the early brood nestlings raised in the cedar plantations received food deliveries more frequently and with a higher proportion of non-larval prey than their counterparts did in the mixed-oak forests. In contrast, during late brood rearing, when larvae were abundant, both parents in the plantations foraged heavily on larvae at the expense of other prey, just as they did in the mixed-oak forests. We found that parent birds reared heavier nestlings as the contribution of large larvae to the diet increased. Moreover, the nestlings during early broods in the plantations had lower body weights than their counterparts in the mixed-oak forests. We suggest that the provisioning flexibility of Green-backed Tits helps them gather food for raising nestlings when their breeding attempts are less synchronized with the larval food supply in their habitat. As a result, they can breed successfully in the exotic cedar plantations.",2022,21,165,176,,,,1,1,1,,1
2022-87,"Garrett, DR; Pelletier, F; Garant, D; Belisle, M","Interacting effects of cold snaps, rain, and agriculture on the fledging success of a declining aerial insectivore",ECOLOGICAL APPLICATIONS,"Climate change predicts the increased frequency, duration, and intensity of inclement weather periods such as unseasonably low temperatures (i.e., cold snaps) and prolonged precipitation. Many migratory species have advanced the phenology of important life history stages and, as a result, are likely to be exposed to these periods of inclement spring weather more often, therefore risking reduced fitness and population growth. For declining avian species, including aerial insectivores, anthropogenic landscape changes such as agricultural intensification are another driver of population declines. These landscape changes may affect the foraging ability of food provisioning parents and reduce the survival of nestlings exposed to inclement weather through, for example, pesticide exposure impairing thermoregulation and punctual anorexia. Breeding in agro-intensive landscapes may therefore exacerbate the negative effects of inclement weather under climate change. We observed that a significant reduction in the availability of insect prey occurred when daily maximum temperatures fell below 18.3 degrees C, and thereby defined any day when the maximum temperature fell below this value as a day witnessing a cold snap. We then combined daily information on the occurrence of cold snaps and measures of precipitation to assess their impact on the fledging success of Tree Swallows (Tachycineta bicolor) occupying a nest box system placed across a gradient of agricultural intensification. Estimated fledging success of this declining aerial insectivore was 36.2% lower for broods experiencing 4 cold-snap days during the 12 days post-hatching period versus broods experiencing none, and this relationship was worsened when facing more precipitation. We further found that the overall negative effects of a brood experiencing periods of inclement weather was exacerbated in more agro-intensive landscapes. Our results indicate that two of the primary hypothesized drivers of many avian population declines may interact to further increase the rate of declines in certain landscape contexts.",2022,32,,,e2645,10.1002/eap.2645,http://dx.doi.org/10.1002/eap.2645,0,,,,
2022-88,"dos Santos, I; Ramos, JA; Ceia, FR; Rodrigues, I; Almeida, N; Antunes, S; Carreiro, AR; Matos, DM; Lopes, RJ; Geraldes, P; Paiva, VH","Sexual segregation in the foraging distribution, behaviour, and trophic niche of the endemic Boyd's shearwater (Puffinus lherminieri boydi)",MARINE BIOLOGY,"Studies on sex-specific segregation in foraging behaviour and trophic niche have been focussed on large and dimorphic seabirds, with less information on small monomorphic species. Here, we used mini-GPS loggers, habitat suitability models, and stable isotopes to assess sex differences in the foraging movements, spatial distribution, and trophic ecology of Boyd's shearwaters Puffinus lherminieri boydi in Raso Islet (16 degrees 36' N, 24 degrees 35' W), Cabo Verde, during the chick-rearing periods of 2018-2019. The existence of sexual foraging segregation was tested in short (< 1 day) and in long trips (>= 1 day). Females engaged in slightly longer and more distant foraging trips, reaching northerly regions when compared to males, although sex differences were more pronounced during short trips. Spatial overlap within and between sexes was low, indicating a sex-specific pattern, albeit slight, in the foraging behaviour and spatial distribution of adult breeders. Habitat suitability models revealed a higher contribution of sea surface temperature and height for short and long trips, respectively, and regardless of sex. Stable isotope analysis revealed that both sexes occupied similar isotopic niches and the mixing model revealed no diet differences. In the absence of sexual size dimorphism, these findings may indicate that differential energetic demands may not manifest in strong differences in foraging behaviour or prey preferences, however, may be perceptible in differences in provisioning behaviour. Thus, it is possible that other factors involving distinct parental investment in chick-provisioning, such as the sensitivity to chick begging, could help explain the occurrence of sexual segregation in Boyd's shearwater.",2022,169,,,144,10.1007/s00227-022-04127-7,http://dx.doi.org/10.1007/s00227-022-04127-7,1,1,0,interval length,
2022-89,"Reed, AN; McRae, SB",Natal philopatry is associated with smaller nest size in a cavity-nesting bird with consequences for nest box temperature,AVIAN BIOLOGY RESEARCH,"Considerable within-population variation in nest size exists among cavity nesters. We sought to explain this by studying a multi-brooded population of Eastern Bluebirds (Sialia sialis) breeding in nest boxes. We examined seasonal change in nest weights and compared the weights of nests built by immigrant and resident females. We further investigated whether nest weight correlated with maternal condition or breeding success. Nest weight measured after broods fledged was correlated with nest height at the start of incubation. Breeders spent fewer days building and built successively smaller, lighter nests in later nesting attempts. Female bluebirds performed the majority of nest construction. Nests built by immigrant females were significantly larger on average than those built by female recruits hatched on site, and the seasonal decline in nest weight was more pronounced for natally philopatric females. For the first time, we present evidence that the weights of philopatric females' first nests were significantly positively correlated with the weights of the nests they were raised in, suggesting an effect of natal memory. Contrary to expectation, neither maternal condition nor reproductive success (clutch size, hatching success, brood size, and fledging success) was related to nest weight. To investigate whether smaller nests provided a thermal advantage in summer nest attempts when afternoon box temperatures can exceed 41 degrees C, we measured the temperature within nest boxes using programmable data loggers. Mean daily maximum box temperatures during incubation were significantly positively related to nest weight and significantly negatively related to the volume of free space above the nest. Increased air circulation above the nest likely contributed to cooling the boxes when ambient temperatures were high. Reducing nest size was therefore advantageous, especially in later nesting attempts when ambient temperatures were warmest. Seasonal decline in nest weights and differences between immigrant and natally philopatric females merits further investigation.",2022,15,100,112,,10.1177/17581559221092642,http://dx.doi.org/10.1177/17581559221092642,0,,,,
2022-90,"O'Connor, RS; Le Pogam, A; Young, KG; Love, OP; Cox, CJ; Roy, G; Robitaille, F; Elliott, KH; Hargreaves, AL; Choy, ES; Gilchrist, HG; Berteaux, D; Tam, A; Vezina, F",Warming in the land of the midnight sun: breeding birds may suffer greater heat stress at high- versus low-Arctic sites,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Rising global temperatures are expected to increase reproductive costs for wildlife as greater thermoregulatory demands interfere with reproductive activities. However, predicting the temperatures at which reproductive performance is negatively impacted remains a significant hurdle. Using a thermoregulatory polygon approach, we derived a reproductive threshold temperature for an Arctic songbird-the snow bunting (Plectrophenax nivalis). We defined this threshold as the temperature at which individuals must reduce activity to suboptimal levels (i.e. less than four-time basal metabolic rate) to sustain nestling provisioning and avoid overheating. We then compared this threshold to operative temperatures recorded at high (82 degrees N) and low (64 degrees N) Arctic sites to estimate how heat constraints translate into site-specific impacts on sustained activity level. We predict buntings would become behaviourally constrained at operative temperatures above 11.7 degrees C, whereupon they must reduce provisioning rates to avoid overheating. Low-Arctic sites had larger fluctuations in solar radiation, consistently producing daily periods when operative temperatures exceeded 11.7 degrees C. However, high-latitude birds faced entire, consecutive days when parents would be unable to sustain required provisioning rates. These data indicate that Arctic warming is probably already disrupting the breeding performance of cold-specialist birds and suggests counterintuitive and severe negative impacts of warming at higher latitude breeding locations.",2022,289,,,20220300,10.1098/rspb.2022.0300,http://dx.doi.org/10.1098/rspb.2022.0300,0,,,,
2022-91,"Grieves, LA; Gilles, M; Cuthill, IC; Szekely, T; MacDougall-Shackleton, EA; Caspers, BA",Olfactory camouflage and communication in birds,BIOLOGICAL REVIEWS,"Smell is a sensory modality that is rarely considered in birds, but evidence is mounting that olfaction is an important aspect of avian behaviour and ecology. The uropygial gland produces an odoriferous secretion (preen oil) that can differ seasonally and between the sexes. These differences are hypothesized to function in olfactory camouflage, i.e. minimizing detection by nest predators (olfactory crypsis hypothesis), and/or intraspecific olfactory communication, particularly during breeding (sex semiochemical hypothesis). However, evidence for seasonal and sex differences in preen oil is mixed, with some studies finding differences and others not, and direct evidence for the putative function(s) of seasonal variation and sex differences in preen oil remains limited. We conducted a systematic review of the evidence for such changes in preen oil chemical composition, finding seasonal differences in 95% of species (57/60 species in 35 studies) and sex differences in 47% of species (28/59 species in 46 studies). We then conducted phylogenetic comparative analyses using data from 59 bird species to evaluate evidence for both the olfactory crypsis and sex semiochemical hypotheses. Seasonal differences were more likely in the incubating than non-incubating sex in ground-nesting species, but were equally likely regardless of incubation strategy in non-ground-nesting species. This result supports the olfactory crypsis hypothesis, if ground nesters are more vulnerable to olfactorily searching predators than non-ground nesters. Sex differences were more likely in species with uniparental than biparental incubation and during breeding than non-breeding, consistent with both the olfactory crypsis and sex semiochemical hypotheses. At present, the data do not allow us to disentangle these two hypotheses, but we provide recommendations that will enable researchers to do so.",2022,97,1193,1209,,10.1111/brv.12837,http://dx.doi.org/10.1111/brv.12837,0,,,,
